spec,year,ring,term,estimate,se,p,ci_lo,ci_hi
Main spec (TWFE),2015,0–100 m,main:0–100 m:2015,0.0620796774100485,0.054984732347868,0.267276276934981,-0.0499205572905532,0.17407991211065
Main spec (TWFE),2021,0–100 m,main:0–100 m:2021,-0.0376710235930858,0.0440083859991787,0.39836426625903,-0.127313172426676,0.0519711252405039
Main spec (TWFE),2015,100–400 m,main:100–400 m:2015,0.0434405232990489,0.0580243554306533,0.459529864184292,-0.074751221010429,0.161632267608527
Main spec (TWFE),2021,100–400 m,main:100–400 m:2021,0.00769831017184139,0.0384895171176313,0.842737979087145,-0.0707022706187401,0.0860988909624229
Main spec (TWFE),2015,400–800 m,main:400–800 m:2015,0.0585585009522851,0.0432865376384261,0.185597818110426,-0.0296132908863657,0.146730292790936
Main spec (TWFE),2021,400–800 m,main:400–800 m:2021,0.017610681698821,0.0380867437294466,0.646935020687763,-0.0599694765475087,0.0951908399451507
Euclidean rings (TWFE),2015,0–100 m,avd::2015:euc_0_100,0.07046820824154386,0.05417769812321528,0.19336573645850771,-0.0357200800799581,0.17665649656304583
Euclidean rings (TWFE),2021,0–100 m,avd::2021:euc_0_100,-0.01013437932526395,0.0486482700456415,0.8349795704896386,-0.10548498861472128,0.08521622996419338
Euclidean rings (TWFE),2015,100–400 m,avd::2015:euc_100_400,0.03030531565422444,0.05240323125686765,0.5630548057339626,-0.07240501760923615,0.13301564891768505
Euclidean rings (TWFE),2021,100–400 m,avd::2021:euc_100_400,-0.00334654141920097,0.0346244883616512,0.92300240719842,-0.07121053860803732,0.06451745576963537
Euclidean rings (TWFE),2015,400–800 m,avd::2015:euc_400_800,0.06804344193126534,0.04345684132682882,0.11740234530142558,-0.01713196706931916,0.15321885093184984
Euclidean rings (TWFE),2021,400–800 m,avd::2021:euc_400_800,0.018640079347474,0.03741023425598018,0.6182997418309876,-0.05468397979424716,0.09196413848919516
Donut rings (TWFE),2015,100–400 m,avd::2015:walk_100_400,0.04346368052976473,0.05802682930360264,0.4538407381912443,-0.07026890490529644,0.1571962659648259
Donut rings (TWFE),2021,100–400 m,avd::2021:walk_100_400,0.00774139643130464,0.03849944237615212,0.8406374712496836,-0.06771751062595352,0.0832003034885628
Donut rings (TWFE),2015,400–800 m,avd::2015:walk_400_800,0.05865816832442988,0.04328229957939115,0.1753391568977101,-0.02617513885117678,0.14349147550003655
Donut rings (TWFE),2021,400–800 m,avd::2021:walk_400_800,0.01777848315720033,0.03811787566813716,0.6409234674432571,-0.0569325531523485,0.09248951946674916
Borough×Year FE,2015,0–100 m,y2015:walk_0_100,0.02608592463951606,0.03422066022743296,0.44588942473586546,-0.04098656940625254,0.09315841868528468
Borough×Year FE,2015,100–400 m,y2015:walk_100_400,0.02741783922562383,0.04504783380355656,0.5427641791030813,-0.06087591502934702,0.11571159348059468
Borough×Year FE,2015,400–800 m,y2015:walk_400_800,0.03164573589554183,0.02851724118340035,0.2671260048467935,-0.02424805682392286,0.08753952861500652
Borough×Year FE,2021,0–100 m,walk_0_100:y2021,-0.09259931368889011,0.03575247924813264,0.00959728717312615,-0.16267417301523013,-0.02252445436255014
Borough×Year FE,2021,100–400 m,walk_100_400:y2021,-0.04191259603514362,0.03260014009531034,0.19856281877638257,-0.10580887062195188,0.02198367855166465
Borough×Year FE,2021,400–800 m,walk_400_800:y2021,-0.00766557577624842,0.03618179563315898,0.8322140893639769,-0.07858189521724002,0.06325074366474318
1km Grid×Year FE,2015,0–100 m,y2015:walk_0_100,0.02124823761434683,0.01831523893428314,0.2459918925982657,-0.01464963069684813,0.0571461059255418
1km Grid×Year FE,2015,100–400 m,y2015:walk_100_400,-0.01883373355799609,0.02367381216235967,0.42629284508177023,-0.06523440539622105,0.02756693828022887
1km Grid×Year FE,2015,400–800 m,y2015:walk_400_800,-0.02571488895452073,0.01078722290203705,0.0171335868821112,-0.04685784584251336,-0.0045719320665281
1km Grid×Year FE,2021,0–100 m,walk_0_100:y2021,-0.07008050195397258,0.05018141350677164,0.16255104011506966,-0.168436072427245,0.02827506851929982
1km Grid×Year FE,2021,100–400 m,walk_100_400:y2021,-0.05620552386697003,0.02933857095427631,0.05539624522707079,-0.1137091229373516,0.00129807520341153
1km Grid×Year FE,2021,400–800 m,walk_400_800:y2021,-0.04515183430197107,0.01835966970927911,0.0139210379159765,-0.08113678693215812,-0.00916688167178401
Conley 2km (TWFE),2015,0–100 m,avd::2015:walk_0_100,0.06207967850403,0.05622587720540063,0.2695444579203526,-0.04812304081855523,0.17228239782661522
Conley 2km (TWFE),2021,0–100 m,avd::2021:walk_0_100,-0.03767102264584723,0.06794558940837771,0.5792851080008559,-0.17084437788626755,0.09550233259457308
Conley 2km (TWFE),2015,100–400 m,avd::2015:walk_100_400,0.04344052345520062,0.0651360682407525,0.5048234623921415,-0.0842261702966743,0.17110721720707556
Conley 2km (TWFE),2021,100–400 m,avd::2021:walk_100_400,0.00769831021361964,0.04410649692235288,0.8614417704661299,-0.078750423754192,0.09414704418143127
Conley 2km (TWFE),2015,400–800 m,avd::2015:walk_400_800,0.05855850096439875,0.04618334581327231,0.20481327314398473,-0.03196085682961498,0.14907785875841248
Conley 2km (TWFE),2021,400–800 m,avd::2021:walk_400_800,0.01761068170484825,0.04096132416877408,0.6672433721853992,-0.06267351366594894,0.09789487707564544
