spec,year,ring,term,estimate,se,p,ci_lo,ci_hi
Main spec (Table 3),2015,0–100 m,main:0–100 m:2015,0.0620796774100485,0.054984732347868,0.267276276934981,-0.0499205572905532,0.17407991211065
Main spec (Table 3),2021,0–100 m,main:0–100 m:2021,-0.0376710235930858,0.0440083859991787,0.39836426625903,-0.127313172426676,0.0519711252405039
Main spec (Table 3),2015,100–400 m,main:100–400 m:2015,0.0434405232990489,0.0580243554306533,0.459529864184292,-0.074751221010429,0.161632267608527
Main spec (Table 3),2021,100–400 m,main:100–400 m:2021,0.00769831017184139,0.0384895171176313,0.842737979087145,-0.0707022706187401,0.0860988909624229
Main spec (Table 3),2015,400–800 m,main:400–800 m:2015,0.0585585009522851,0.0432865376384261,0.185597818110426,-0.0296132908863657,0.146730292790936
Main spec (Table 3),2021,400–800 m,main:400–800 m:2021,0.017610681698821,0.0380867437294466,0.646935020687763,-0.0599694765475087,0.0951908399451507
Winsor 1%,2015,0–100 m,avd::2015:walk_0_100,0.06099148212507394,0.0541033248271591,0.2596093812098473,-0.0450510345361579,0.16703399878630576
Winsor 1%,2021,0–100 m,avd::2021:walk_0_100,-0.04144666507332306,0.04431800586491793,0.34967982081901666,-0.1283099565685622,0.04541662642191609
Winsor 1%,2015,100–400 m,avd::2015:walk_100_400,0.03199990226797954,0.05106810158607104,0.5309133821541784,-0.06809357684071968,0.13209338137667878
Winsor 1%,2021,100–400 m,avd::2021:walk_100_400,0.00288590788310266,0.03765435506361797,0.9389082868212733,-0.07091662804158856,0.0766884438077939
Winsor 1%,2015,400–800 m,avd::2015:walk_400_800,0.05011794693951876,0.03715862923562398,0.17741515454449183,-0.02271296636230423,0.12294886024134176
Winsor 1%,2021,400–800 m,avd::2021:walk_400_800,0.01103431962335007,0.03504711930436868,0.7528813069169806,-0.05765803421321254,0.0797266734599127
Winsor 2%,2015,0–100 m,avd::2015:walk_0_100,0.05281706398919055,0.04935324157998934,0.284536362569691,-0.04391528950758856,0.14954941748596967
Winsor 2%,2021,0–100 m,avd::2021:walk_0_100,-0.04659429468127368,0.04520192272261239,0.3026330333738003,-0.13519006321759397,0.04200147385504661
Winsor 2%,2015,100–400 m,avd::2015:walk_100_400,0.02798431383882753,0.04796979219683168,0.5596417771532012,-0.06603647886696255,0.12200510654461762
Winsor 2%,2021,100–400 m,avd::2021:walk_100_400,-0.00237253199606157,0.03564389345579492,0.9469303276546848,-0.07223456316941963,0.06748949917729648
Winsor 2%,2015,400–800 m,avd::2015:walk_400_800,0.04833664014038088,0.03525527803667589,0.1703603320416539,-0.02076370481150386,0.11743698509226563
Winsor 2%,2021,400–800 m,avd::2021:walk_400_800,0.0074027788494674,0.0335992406290091,0.8256174450349048,-0.05845173278339043,0.07325729048232525
Unbalanced panel,2015,0–100 m,avd::2015:walk_0_100,0.07615518322610852,0.05171690338893532,0.1408752476914742,-0.0252099474162047,0.17752031386842176
Unbalanced panel,2021,0–100 m,avd::2021:walk_0_100,-0.03189794973667916,0.04354808095198877,0.46387772758281137,-0.11725218840257716,0.05345628892921882
Unbalanced panel,2015,100–400 m,avd::2015:walk_100_400,0.04339685877772797,0.05732481804866931,0.44902925825637574,-0.06895978459766389,0.1557535021531198
Unbalanced panel,2021,100–400 m,avd::2021:walk_100_400,0.01208136276338383,0.03873311856377151,0.7551066512530185,-0.06383554962160833,0.087998275148376
Unbalanced panel,2015,400–800 m,avd::2015:walk_400_800,0.05802976559096847,0.04192385292859817,0.16630621653941083,-0.02414098614908395,0.1402005173310209
Unbalanced panel,2021,400–800 m,avd::2021:walk_400_800,0.01444271495611001,0.03735098613542007,0.6989963824526546,-0.05876521786931333,0.08765064778153336
Pure price sample,2015,0–100 m,pureprice:0–100 m:2015,0.06049270768225503,0.05679415058958007,NA,-0.050823827473321904,0.17180924283783197
Pure price sample,2015,100–400 m,pureprice:100–400 m:2015,0.04377987244479692,0.05841882512143889,NA,-0.0707210247932233,0.15828076968281712
Pure price sample,2015,400–800 m,pureprice:400–800 m:2015,0.05832512986173864,0.04340151242389002,NA,-0.026741834489085792,0.14339209421256308
Pure price sample,2021,0–100 m,pureprice:0–100 m:2021,-0.03901287792284592,0.04451299199681496,NA,-0.12625834223660323,0.0482325863909114
Pure price sample,2021,100–400 m,pureprice:100–400 m:2021,0.00836143276088201,0.03847216291272516,NA,-0.0670440065480593,0.08376687206982332
Pure price sample,2021,400–800 m,pureprice:400–800 m:2021,0.01802664657449255,0.03809355110114516,NA,-0.05663671358375196,0.09269000673273706
