avd,cell_id,n,sum_rv,area_m2,unit_price_per_m2,unit_price_per_km2
2008,87,16,58150,1000000,0.05815,58150
2008,99,3,27300,941625.7168406947,0.02899241122215298,28992.41122215298
2008,146,13,54315,1000000,0.054315,54315
2008,156,6,46100,938349.0620466443,0.04912883900523196,49128.83900523196
2008,157,43,979050,683846.7835976481,1.431680346362555,1431680.346362555
2008,202,1,9500,201524.0198037855,0.04714078256899453,47140.78256899453
2008,203,19,105050,1000000,0.10505,105050
2008,204,111,1575300,1000000,1.5753,1575300
2008,205,2,10750,1000000,0.01075,10750
2008,209,24,254600,246174.64622372203,1.0342251076848143,1034225.1076848144
2008,215,8,76150,1000000,0.07615,76150
2008,216,10,81700,1000000,0.0817,81700
2008,262,11,55600,1000000,0.0556,55600
2008,263,7,21000,1000000,0.021,21000
2008,264,11,24850,1000000,0.02485,24850
2008,265,24,103000,1000000,0.103,103000
2008,266,5,25800,1000000,0.0258,25800
2008,267,6,53950,1000000,0.05395,53950
2008,274,3,24100,1000000,0.0241,24100
2008,323,140,1611900,1000000,1.6119,1611900
2008,324,5,23100,1000000,0.0231,23100
2008,326,26,1027550,1000000,1.02755,1027550
2008,331,8,20600,756312.873308897,0.02723740495104127,27237.404951041266
2008,335,3,10650,1000000,0.01065,10650
2008,376,28,154450,999125.5562018398,0.1545851760484831,154585.1760484831
2008,377,3,23150,938366.1428373754,0.02467054057385363,24670.54057385363
2008,380,1,5300,1000000,0.0053,5300
2008,382,1,8300,1000000,0.0083,8300
2008,383,20,236900,1000000,0.2369,236900
2008,384,24,123850,1000000,0.12385,123850
2008,386,56,1623750,1000000,1.62375,1623750
2008,387,1,250000,1000000.0000000298,0.24999999999999256,249999.99999999255
2008,389,50,1021250,1000000,1.02125,1021250
2008,390,5,26400,1000000,0.0264,26400
2008,398,5,23550,991257.8937990963,0.02375769226890314,23757.692268903138
2008,428,4,247250,1000000,0.24725,247250
2008,429,4,17600,597208.8496604743,0.029470427322043146,29470.427322043142
2008,434,128,1392950,721422.3401992414,1.9308384595011252,1930838.4595011252
2008,435,1,92500,1000000,0.0925,92500
2008,436,39,452425,1000000,0.452425,452425
2008,437,40,361050,1000000,0.36105,361050
2008,438,31,195375,1000000,0.195375,195375
2008,439,88,1349200,1000000,1.3492,1349200
2008,440,5,54750,1000000,0.05475,54750
2008,442,62,494250,1000000,0.49425,494250
2008,443,16,83175,1000000,0.083175,83175
2008,445,9,51350,1000000,0.05135,51350
2008,446,1,2175,1000000.0000000298,0.0021749999999999352,2174.9999999999354
2008,447,19,244000,999999.9999999106,0.2440000000000218,244000.0000000218
2008,448,13,75700,1000000,0.0757,75700
2008,452,2,20350,1000000,0.02035,20350
2008,455,1,2500,1000000,0.0025,2500
2008,456,28,515600,1000000,0.5156,515600
2008,487,54,918100,1000000,0.9181,918100
2008,488,1,28000,927605.4253093852,0.030185248205788717,30185.248205788717
2008,493,29,176000,988787.1715611219,0.17799583678065603,177995.83678065604
2008,494,22,78700,1000000,0.0787,78700
2008,495,253,14893700,1000000,14.8937,14893700
2008,496,31,178100,1000000,0.1781,178100
2008,497,82,742175,1000000,0.742175,742175
