avd,ring,ring_total,FIN_BET_BEAUTY_n,KIOSK_n,LARGE_NONFOOD_n,LEISURE_AIR_n,SMALL_SHOP_n,SUPERMARKET_n,MARKET_n,PHARMACY_PO_n,RETAIL_WARE_n,TAKEAWAY_n,Food_Supermarkets_n,Hypermarkets_n,FIN_BET_BEAUTY_share,KIOSK_share,LARGE_NONFOOD_share,LEISURE_AIR_share,SMALL_SHOP_share,SUPERMARKET_share,MARKET_share,PHARMACY_PO_share,RETAIL_WARE_share,TAKEAWAY_share,Food_Supermarkets_share,Hypermarkets_share
2008,0–100m,278,15,8,2,1,248,4,NA,NA,NA,NA,NA,NA,0.0539568345323741,0.02877697841726619,0.007194244604316547,0.0035971223021582736,0.8920863309352518,0.014388489208633094,NA,NA,NA,NA,NA,NA
2008,100–400m,2872,120,81,72,3,2559,10,3,9,13,2,NA,NA,0.04178272980501393,0.028203342618384402,0.025069637883008356,0.0010445682451253482,0.891016713091922,0.003481894150417827,0.0010445682451253482,0.0031337047353760445,0.004526462395543176,6.963788300835655e-4,NA,NA
2008,400–800m,5452,167,319,308,147,4461,16,2,8,21,3,NA,NA,0.030630961115187087,0.05851063829787234,0.05649303008070433,0.026962582538517976,0.8182318415260454,0.00293470286133529,3.6683785766691124e-4,0.001467351430667645,0.003851797505502568,5.502567865003668e-4,NA,NA
2008,800m+,69496,2694,844,713,34,63911,334,37,317,470,68,63,11,0.03876482099689191,0.012144583860941636,0.010259583285368943,4.892367906066536e-4,0.9196356624841717,0.004806032001841832,5.324047427190054e-4,0.0045614136065385055,0.0067629791642684475,9.784735812133072e-4,9.065269943593876e-4,1.5828249107862323e-4
2015,0–100m,278,16,8,2,NA,248,4,NA,NA,NA,NA,NA,NA,0.05755395683453238,0.02877697841726619,0.007194244604316547,NA,0.8920863309352518,0.014388489208633094,NA,NA,NA,NA,NA,NA
2015,100–400m,2872,109,80,68,3,2573,12,3,9,13,2,NA,NA,0.03795264623955432,0.027855153203342618,0.023676880222841225,0.0010445682451253482,0.895891364902507,0.004178272980501393,0.0010445682451253482,0.0031337047353760445,0.004526462395543176,6.963788300835655e-4,NA,NA
2015,400–800m,5452,164,329,307,146,4458,15,2,7,21,3,NA,NA,0.03008070432868672,0.0603448275862069,0.05630961115187087,0.02677916360968452,0.8176815847395451,0.002751283932501834,3.6683785766691124e-4,0.0012839325018341892,0.003851797505502568,5.502567865003668e-4,NA,NA
2015,800m+,69496,2738,840,715,42,63859,343,37,296,468,84,63,11,0.0393979509612064,0.012087026591458501,0.01028836192011051,6.043513295729251e-4,0.918887417980891,0.004935535858178888,5.324047427190054e-4,0.0042592379417520435,0.006734200529526879,0.0012087026591458502,9.065269943593876e-4,1.5828249107862323e-4
2021,0–100m,278,16,8,2,NA,248,4,NA,NA,NA,NA,NA,NA,0.05755395683453238,0.02877697841726619,0.007194244604316547,NA,0.8920863309352518,0.014388489208633094,NA,NA,NA,NA,NA,NA
2021,100–400m,2872,111,80,69,3,2570,12,3,9,13,2,NA,NA,0.03864902506963788,0.027855153203342618,0.02402506963788301,0.0010445682451253482,0.8948467966573816,0.004178272980501393,0.0010445682451253482,0.0031337047353760445,0.004526462395543176,6.963788300835655e-4,NA,NA
2021,400–800m,5452,161,329,307,146,4462,15,2,7,20,3,NA,NA,0.029530447542186353,0.0603448275862069,0.05630961115187087,0.02677916360968452,0.8184152604548789,0.002751283932501834,3.6683785766691124e-4,0.0012839325018341892,0.003668378576669112,5.502567865003668e-4,NA,NA
2021,800m+,69496,2712,840,710,44,63877,345,37,296,474,85,63,13,0.03902382870956602,0.012087026591458501,0.01021641533325659,6.331299643144929e-4,0.9191464256935651,0.004964314492920456,5.324047427190054e-4,0.0042592379417520435,0.006820536433751583,0.001223091976516634,9.065269943593876e-4,1.870611258201911e-4
