group,year,ring,coef,se,effect_pct,ci_lo_pct,ci_hi_pct,N,within_R2
FIN_BET_BEAUTY,2015,0–100 m,-3.7216821947969794,80.79104799259945,-97.58067641397568,-100,14269947223960585e53,16,0.006025538149295073
FIN_BET_BEAUTY,2015,100–400 m,0.6339164602552403,0.8340974206188339,88.49785853063194,-63.24568249709785,866.7284032094607,109,0.006025538149295073
FIN_BET_BEAUTY,2015,400–800 m,0.03333076386009744,0.07484929307529992,3.3892456951164274,-10.71831823576359,19.725971937134588,164,0.006025538149295073
FIN_BET_BEAUTY,2021,0–100 m,-3.8194306469407855,80.76625181586613,-97.8059710890453,-100,12327182391399829e53,16,0.006025538149295073
FIN_BET_BEAUTY,2021,100–400 m,0.6493572655665313,0.8287385450883318,91.43100405418099,-62.27964371721697,871.5133398652013,111,0.006025538149295073
FIN_BET_BEAUTY,2021,400–800 m,-0.005868917525333899,0.08251265966140331,-0.5851729071186806,-15.430265402884958,16.86577820056967,161,0.006025538149295073
KIOSK,2015,0–100 m,-1.0265499033408085,241.81740993997067,-64.17592037065087,-100,24734885317346297e191,8,0.006025538149295073
KIOSK,2015,100–400 m,2.7899665925396055e-05,0.9889603148257823,0.002790005512465221,-85.60564855886062,594.7557206575358,80,0.006025538149295073
KIOSK,2015,400–800 m,-0.04477211300283046,0.06486253890185474,-4.378463394591603,-15.793888922042632,8.584497558787586,329,0.006025538149295073
KIOSK,2021,0–100 m,-0.9526493896134252,241.81530487339808,-61.42822480750924,-100,26522387600805064e191,8,0.006025538149295073
KIOSK,2021,100–400 m,-0.04610446746894593,1.0001726560593436,-4.505780341459175,-86.5533861949688,578.1741574805704,80,0.006025538149295073
KIOSK,2021,400–800 m,-0.020931081310509275,0.052525484206263524,-2.0713546617184275,-11.651505747916158,8.547629011399271,329,0.006025538149295073
LARGE_NONFOOD,2015,0–100 m,0.3135425182451157,154.6355405888388,36.82636376937776,-100,5815663553654762e118,2,0.006025538149295073
LARGE_NONFOOD,2015,100–400 m,-0.1518956698423602,0.958928038215674,-14.092209620102347,-86.88475149562016,462.71510566435944,68,0.006025538149295073
LARGE_NONFOOD,2015,400–800 m,0.21055324286537763,0.08744179695562174,23.436077237706154,3.9944473468599195,46.51229515181434,307,0.006025538149295073
LARGE_NONFOOD,2021,0–100 m,0.3990088135359071,154.63212530384484,49.03467537741473,-100,629230354381954e119,2,0.006025538149295073
LARGE_NONFOOD,2021,100–400 m,-0.1683493347986873,0.9559301648053717,-15.49414252517125,-87.02275124908432,450.28920880107063,69,0.006025538149295073
LARGE_NONFOOD,2021,400–800 m,0.24120101468659547,0.08626883249870236,27.27768564363682,7.47779724468649,50.7251700173946,307,0.006025538149295073
SMALL_SHOP,2015,0–100 m,-0.33547225331892283,28.679779419062704,-28.49996546769339,-100,18493850458591704e10,248,0.006025538149295073
SMALL_SHOP,2015,100–400 m,-0.008401216741365472,0.9821798935253319,-0.8366025139712296,-85.53551437335692,579.8291798817504,2573,0.006025538149295073
SMALL_SHOP,2015,400–800 m,0.02870718241733088,0.04967543023143351,2.9123204982061335,-6.635281730257914,13.436273429615685,4458,0.006025538149295073
SMALL_SHOP,2021,0–100 m,-0.44500434971592684,28.69923556362223,-35.917851136517875,-100,1721946131724957e11,248,0.006025538149295073
SMALL_SHOP,2021,100–400 m,-0.04610446746894593,1.0001726560593436,-4.505780341459175,-86.5533861949688,578.1741574805704,2570,0.006025538149295073
SMALL_SHOP,2021,400–800 m,-0.020931081310509275,0.052525484206263524,-2.0713546617184275,-11.651505747916158,8.547629011399271,4462,0.006025538149295073
SUPERMARKET,2015,0–100 m,-0.5201205791575866,28.730071871031186,-40.55511344948554,-100,16968575766894132e10,4,0.006025538149295073
SUPERMARKET,2015,100–400 m,0.02012823938967033,1.004363108750496,2.033217841307988,-85.75014498571457,630.588313538281,12,0.006025538149295073
SUPERMARKET,2015,400–800 m,-0.01324630125090261,0.0750325857300483,-1.3158955098984904,-14.81204788747984,14.318424583679935,15,0.006025538149295073
SUPERMARKET,2021,0–100 m,-0.44500434971592684,28.69923556362223,-35.917851136517875,-100,1721946131724957e11,4,0.006025538149295073
SUPERMARKET,2021,100–400 m,-0.04610446746894593,1.0001726560593436,-4.505780341459175,-86.5533861949688,578.1741574805704,12,0.006025538149295073
SUPERMARKET,2021,400–800 m,-0.020931081310509275,0.052525484206263524,-2.0713546617184275,-11.651505747916158,8.547629011399271,15,0.006025538149295073
